City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,miyako,39.6367,141.9525,31.59,52,39,19.39,JP,1738728186
325,n'zeto,-7.2312,12.8666,79.5,87,100,6.06,AO,1738728186
326,sarkand,45.41,79.9186,20.19,75,0,3.11,KZ,1738728186
327,santiago de cao,-7.9589,-79.2392,68.13,88,75,8.05,PE,1738728187
328,sal rei,16.1833,-22.9167,68.85,66,22,21.43,CV,1738728187
329,sosnovka,56.255,51.2842,20.41,91,100,6.06,RU,1738728187
330,yuzhno-kurilsk,44.0306,145.8556,31.08,73,4,16.78,RU,1738728187
331,guanica,17.9716,-66.908,75.85,48,0,3.8,PR,1738728187
332,wakema,16.6,95.1833,83.71,43,3,7.31,MM,1738728187
333,new plymouth,-39.0667,174.0833,70.32,100,97,12.8,NZ,1738728187
334,codrington,-38.2667,141.9667,67.05,52,23,18.75,AU,1738728187
335,nikolayevsk-on-amure,53.1406,140.73,21.92,94,100,15.21,RU,1738728187
336,songkhla,6.8333,100.6667,84.6,54,69,8.86,TH,1738728187
337,sola,-13.8833,167.55,88.47,74,40,5.75,VU,1738728188
338,sao gabriel da cachoeira,-0.1303,-67.0892,73.04,98,99,2.01,BR,1738728188
339,ancud,-41.8697,-73.8203,54.79,79,34,0.25,CL,1738728009
340,niafunke,15.9322,-3.9906,70.79,15,100,9.66,ML,1738728188
341,qusmuryn,52.4503,64.6311,14.07,88,100,8.55,KZ,1738728188
342,parintins,-2.6283,-56.7358,74.61,98,99,1.97,BR,1738728188
343,manta,-0.95,-80.7333,80.38,74,75,5.75,EC,1738728167
344,jining,35.405,116.5814,35.15,14,1,15.08,CN,1738728188
345,byron bay,-28.65,153.6167,75.13,84,100,1.86,AU,1738728188
346,dunedin,-45.8742,170.5036,64.35,70,97,6.24,NZ,1738728016
347,kitimat,54.0524,-128.6534,11.08,78,0,6.58,CA,1738728189
348,biltine,14.5333,20.9167,69.06,19,0,10.69,TD,1738728189
349,tak,16.5833,98.8333,80.78,54,0,3.85,TH,1738728022
350,zeya,53.75,127.2667,-3.24,75,29,5.91,RU,1738728189
351,singkil,-7.9855,111.4161,80.35,82,100,5.57,ID,1738728189
352,portales,34.1862,-103.3344,49.19,70,72,15.82,US,1738728004
353,dolinsk,47.35,142.8,28.76,97,100,20.89,RU,1738728189
354,porto novo,6.4965,2.6036,82.22,84,56,4.12,BJ,1738728189
